address,total_fees,total_txs
cosmos1yx2urg5kwq7gxws5rz0nllr0d5xj9t72273zyt,"[{""denom"":""uatom"",""amount"":337286}]",114
cosmos1995thtfe5gs47wrrjg9gsq0xs0udq3lrlasttl,"[{""denom"":""uatom"",""amount"":659248}]",114
cosmos192f62qs4exn5t46vlxd2k39vtmk7xn0su9qkkx,"[{""denom"":""uatom"",""amount"":125682}]",97
cosmos1n7ll8l4p67v2l7l3q0r48q28n585srlc3lmcal,"[{""denom"":""uatom"",""amount"":473477}]",94
cosmos104kaar8w7spemugcs49u7cstwk6v5kpz6ve38p,"[{""denom"":""uatom"",""amount"":253297}]",82
cosmos1vv6hruquzpty4xpks9znkw8gys5x4nsnqw9f4k,"[{""denom"":""uatom"",""amount"":915000}]",79
cosmos1p7d8mnjttcszv34pk2a5yyug3474mhffasa7tg,"[{""denom"":""uatom"",""amount"":7770}]",79
cosmos177e3sa2nk8cdgu2ztryr5chp9vf0h6cca2vlh3,"[{""denom"":""uatom"",""amount"":862500}]",68
cosmos1tgxx2pgmwydezaevrenagky0zuvwq4eelkvn3l,"[{""denom"":""uatom"",""amount"":98173}]",67
cosmos1w8xcu88jd2arvzvd0kzt9k3fkd67unlthg3unk,"[{""denom"":""uatom"",""amount"":236047}]",64
cosmos1gs733lnrhu8twqkt483r6pa2rlkt45q2r5djkz,"[{""denom"":""uatom"",""amount"":261993}]",62
cosmos1vnzdsltpfj3shywmlq9pnl56vc63xv9vfl3qdz,"[{""denom"":""uatom"",""amount"":2796149}]",62
cosmos1sw3zygjljagar39d8ejafnjgjvl8e7t3mxqw2z,"[{""denom"":""uatom"",""amount"":3878000}]",61
cosmos1eutyuqqase3eyvwe92caw8dcx5ly8s54af8jjh,"[{""denom"":""uatom"",""amount"":96860}]",59
cosmos1ll4he5w7jd8r3dv4gwaxenkpkx78gjz3ae3tld,"[{""denom"":""uatom"",""amount"":271158}]",52
cosmos1dfcl0mfax3fnd25puvdd5h02frt82u38vm0dr2,"[{""denom"":""uatom"",""amount"":261467}]",52
cosmos133js8x4g0tpqkywtmj85853uu6xmsuert4yu7e,"[{""denom"":""uatom"",""amount"":123916}]",51
cosmos1yaxgzgvpprmult7vcpfpaz0uvkr6t60zjx03yq,"[{""denom"":""uatom"",""amount"":585000}]",50
cosmos1vss4sglfgnawveu9ssps9l4zs6cay5s2elxcwg,"[{""denom"":""uatom"",""amount"":457500}]",50
cosmos1m9l2zhwn8amfaafvxzenyg6u7m95u0zv5gv4n7,"[{""denom"":""uatom"",""amount"":2405000}]",49
cosmos1cc5mtuje84sx5dsqw4gtr4w8lthpzw02rjjnew,"[{""denom"":""uatom"",""amount"":7447}]",49
cosmos1k2m58vv732yjrs6pnhaf3ar8dtwdql5mlcv478,"[{""denom"":""uatom"",""amount"":1160000}]",48
cosmos1ymk637a7wljvt4w7q9lnrw95mg9sr37y4s4an9,"[{""denom"":""uatom"",""amount"":397800}]",47
cosmos1lnygvrkgnu78z6zktccak49ljewp97f3g9jy0q,"[{""denom"":""uatom"",""amount"":329286}]",47
cosmos1c4ttnkx9jspxjvzlm9flzkutaf4newfzvu3zt9,"[{""denom"":""uatom"",""amount"":397500}]",45
cosmos10z9fpz8mfr8csea4kkth7ssuwe5ncg2pv8nhns,"[{""denom"":""uatom"",""amount"":4432}]",43
